"","Year","Round","Region Number","Region Name","Seed","Score","Team","Opponent","Opp_Score","Opp_Seed","Win"
"1737",2014,3,1,"South",10,72,"Stanford","Dayton",82,11,0
"1738",2014,3,1,"South",11,82,"Dayton","Stanford",72,10,1
"1739",2014,3,2,"East",1,59,"Virginia","Michigan St",61,4,0
"1740",2014,3,2,"East",4,61,"Michigan St","Virginia",59,1,1
"1741",2014,3,2,"East",7,81,"Connecticut","Iowa St",76,3,1
"1742",2014,3,2,"East",3,76,"Iowa St","Connecticut",81,7,0
"1743",2014,3,3,"West",1,70,"Arizona","San Diego St",64,4,1
"1744",2014,3,3,"West",4,64,"San Diego St","Arizona",70,1,0
"1745",2014,3,3,"West",2,69,"Wisconsin","Baylor",52,6,1
"1746",2014,3,3,"West",6,52,"Baylor","Wisconsin",69,2,0
"1747",2014,3,4,"Midwest",8,74,"Kentucky","Louisville",69,4,1
"1748",2014,3,4,"Midwest",4,69,"Louisville","Kentucky",74,8,0
"1749",2014,3,4,"Midwest",2,73,"Michigan","Tennessee",71,11,1
"1750",2014,3,4,"Midwest",11,71,"Tennessee","Michigan",73,2,0
"1751",2014,4,1,"South",1,62,"Florida","Dayton",52,11,1
"1752",2014,4,1,"South",11,52,"Dayton","Florida",62,1,0
"1753",2014,4,2,"East",4,54,"Michigan St","Connecticut",60,7,0
"1754",2014,4,2,"East",7,60,"Connecticut","Michigan St",54,4,1
"1755",2014,4,3,"West",1,63,"Arizona","Wisconsin",64,2,0
"1756",2014,4,3,"West",2,64,"Wisconsin","Arizona",63,1,1
"1757",2014,4,4,"Midwest",8,75,"Kentucky","Michigan",72,2,1
"1758",2014,4,4,"Midwest",2,72,"Michigan","Kentucky",75,8,0
"1759",2014,5,1,"Final Four",1,53,"Florida","Connecticut",63,7,0
"1760",2014,5,1,"Final Four",7,63,"Connecticut","Florida",53,1,1
"1761",2014,5,2,"Final Four",2,73,"Wisconsin","Kentucky",74,8,0
"1762",2014,5,2,"Final Four",8,74,"Kentucky","Wisconsin",73,2,1
"1763",2014,6,1,"Championship",7,60,"Connecticut","Kentucky",54,8,1
"1764",2014,6,1,"Championship",8,54,"Kentucky","Connecticut",60,7,0
"1765",2015,1,1,"Midwest",1,79,"Kentucky","Hampton",56,16,1
"1766",2015,1,1,"Midwest",16,56,"Hampton","Kentucky",79,1,0
"1767",2015,1,1,"Midwest",2,75,"Kansas","New Mexico St",56,15,1
"1768",2015,1,1,"Midwest",15,56,"New Mexico St","Kansas",75,2,0
"1769",2015,1,1,"Midwest",3,69,"Notre Dame","Northeastern",65,14,1
"1770",2015,1,1,"Midwest",14,65,"Northeastern","Notre Dame",69,3,0
"1771",2015,1,1,"Midwest",4,65,"Maryland","Valparaiso",62,13,1
"1772",2015,1,1,"Midwest",13,62,"Valparaiso","Maryland",65,4,0
